[0;33m2025-08-26 23:00:06.890	W [0;33mStarting...
[0m[0;33m2025-08-26 23:00:06.890	W [0;33mInitializing source blockchain (BlockchainDB)
[0m[0;33m2025-08-26 23:00:06.890	W [0;33mLoading blockchain from folder /Users/mac/.arqma/lmdb ...
[0m[0;33m2025-08-26 23:00:07.058	W [0;33mSource blockchain storage initialized OK
[0m[0;36m2025-08-26 23:00:07.058	I [0;36mStarting from height 0, stopping at height 1773120
[0m
# DATA
Date		Blocks/day		Blocks		Txs/Day		Txs		Bytes/Day		Bytes
1970-01-01		1		1		0		0		114		114
2018-06-14		163		164		5		5		45412		45526
2018-06-15		427		591		876		881		4845982		4891508
2018-06-16		362		953		2061		2942		11231662		16123170
2018-06-17		355		1308		1846		4788		10166433		26289603
2018-06-18		363		1671		1610		6398		8861453		35151056
2018-06-19		336		2007		1098		7496		6113606		41264662
2018-06-20		362		2369		925		8421		4979039		46243701
2018-06-21		359		2728		843		9264		4488205		50731906
2018-06-22		359		3087		1131		10395		5994942		56726848
2018-06-23		360		3447		1102		11497		5698764		62425612
2018-06-24		351		3798		1066		12563		5461905		67887517
2018-06-25		310		4108		252		12815		1222546		69110063
2018-06-26		379		4487		532		13347		2901595		72011658
2018-06-27		365		4852		444		13791		2165398		74177056
2018-06-28		340		5192		829		14620		5519195		79696251
2018-06-29		361		5553		473		15093		1917466		81613717
2018-06-30		353		5906		372		15465		1841302		83455019
2018-07-01		359		6265		404		15869		1827608		85282627
2018-07-02		360		6625		435		16304		1952252		87234879
2018-07-03		360		6985		430		16734		1959772		89194651
2018-07-04		352		7337		1617		18351		21662473		110857124
2018-07-05		358		7695		1728		20079		23342629		134199753
2018-07-06		355		8050		1377		21456		18447233		152646986
2018-07-07		358		8408		1104		22560		14836107		167483093
2018-07-08		357		8765		1211		23771		16258141		183741234
2018-07-09		354		9119		1968		25739		24138587		207879821
2018-07-10		352		9471		1427		27166		16816278		224696099
2018-07-11		350		9821		1168		28334		12203861		236899960
2018-07-12		359		10180		1143		29477		8872323		245772283
2018-07-13		359		10539		1089		30566		7941251		253713534
2018-07-14		353		10892		1205		31771		8650608		262364142
2018-07-15		363		11255		1379		33150		16171082		278535224
2018-07-16		348		11603		829		33979		10420273		288955497
2018-07-17		355		11958		621		34600		7852396		296807893
2018-07-18		353		12311		836		35436		10468632		307276525
2018-07-19		358		12669		782		36218		9385608		316662133
2018-07-20		357		13026		690		36908		8616400		325278533
2018-07-21		359		13385		556		37464		6630608		331909141
2018-07-22		353		13738		468		37932		4078848		335987989
2018-07-23		359		14097		493		38425		4475648		340463637
2018-07-24		349		14446		531		38956		4776324		345239961
2018-07-25		355		14801		465		39421		4105432		349345393
2018-07-26		359		15160		313		39734		2201115		351546508
2018-07-27		351		15511		418		40152		3394988		354941496
2018-07-28		354		15865		323		40475		1928766		356870262
2018-07-29		355		16220		338		40813		2304331		359174593
2018-07-30		353		16573		442		41255		3955243		363129836
2018-07-31		353		16926		342		41597		2020224		365150060
2018-08-01		354		17280		318		41915		1742725		366892785
2018-08-02		354		17634		324		42239		1774860		368667645
2018-08-03		361		17995		320		42559		1625169		370292814
2018-08-04		354		18349		252		42811		1428857		371721671
2018-08-05		355		18704		287		43098		1636859		373358530
2018-08-06		354		19058		291		43389		1820357		375178887
2018-08-07		358		19416		271		43660		1470242		376649129
2018-08-08		356		19772		290		43950		1642868		378291997
2018-08-09		361		20133		263		44213		1355098		379647095
2018-08-10		359		20492		244		44457		1334214		380981309
2018-08-11		358		20850		262		44719		1537321		382518630
2018-08-12		357		21207		256		44975		1490681		384009311
2018-08-13		358		21565		245		45220		1400579		385409890
2018-08-14		361		21926		244		45464		1447767		386857657
2018-08-15		355		22281		256		45720		1380766		388238423
2018-08-16		359		22640		242		45962		1292814		389531237
2018-08-17		357		22997		242		46204		1385345		390916582
2018-08-18		354		23351		255		46459		1446060		392362642
2018-08-19		359		23710		284		46743		1252537		393615179
2018-08-20		358		24068		247		46990		1178161		394793340
2018-08-21		354		24422		259		47249		1438269		396231609
2018-08-22		360		24782		312		47561		1596623		397828232
2018-08-23		356		25138		296		47857		1399711		399227943
2018-08-24		356		25494		383		48240		1857187		401085130
2018-08-25		355		25849		249		48489		1116635		402201765
2018-08-26		356		26205		223		48712		1087394		403289159
2018-08-27		360		26565		270		48982		1319445		404608604
2018-08-28		357		26922		352		49334		1717330		406325934
2018-08-29		358		27280		282		49616		1269014		407594948
2018-08-30		355		27635		232		49848		1095889		408690837
2018-08-31		357		27992		230		50078		1130775		409821612
2018-09-01		354		28346		245		50323		1138017		410959629
2018-09-02		358		28704		309		50632		1362688		412322317
2018-09-03		356		29060		305		50937		1349841		413672158
2018-09-04		354		29414		260		51197		1165235		414837393
2018-09-05		356		29770		296		51493		1391109		416228502
2018-09-06		362		30132		395		51888		2572652		418801154
2018-09-07		352		30484		291		52179		1249186		420050340
2018-09-08		365		30849		287		52466		1420983		421471323
2018-09-09		356		31205		297		52763		1666860		423138183
2018-09-10		358		31563		269		53032		1319716		424457899
2018-09-11		359		31922		264		53296		1296316		425754215
2018-09-12		360		32282		304		53600		1587102		427341317
2018-09-13		351		32633		292		53892		1403309		428744626
2018-09-14		354		32987		304		54196		1325359		430069985
2018-09-15		360		33347		257		54453		1246029		431316014
2018-09-16		358		33705		282		54735		1285534		432601548
2018-09-17		356		34061		263		54998		1515303		434116851
2018-09-18		355		34416		275		55273		1368411		435485262
2018-09-19		355		34771		397		55670		1731670		437216932
2018-09-20		358		35129		506		56176		3554191		440771123
2018-09-21		359		35488		1329		57505		14198575		454969698
2018-09-22		360		35848		515		58020		3335549		458305247
2018-09-23		360		36208		755		58775		6664842		464970089
2018-09-24		360		36568		474		59249		1960685		466930774
2018-09-25		354		36922		566		59815		3883619		470814393
2018-09-26		353		37275		481		60296		2378486		473192879
2018-09-27		355		37630		448		60744		2122056		475314935
2018-09-28		360		37990		367		61111		1663404		476978339
2018-09-29		355		38345		335		61446		1596983		478575322
2018-09-30		358		38703		305		61751		1695494		480270816
2018-10-01		352		39055		328		62079		1673850		481944666
2018-10-02		359		39414		330		62409		1805887		483750553
2018-10-03		356		39770		363		62772		2076410		485826963
2018-10-04		357		40127		338		63110		2092972		487919935
2018-10-05		351		40478		294		63404		1742145		489662080
2018-10-06		358		40836		320		63724		1674776		491336856
2018-10-07		352		41188		262		63986		1588389		492925245
